study_hours_per_day,phone_usage_hours,social_media_hours,youtube_hours,gaming_hours,breaks_per_day,coffee_intake_mg,assignments_completed,attendance_percentage,focus_score,sleep_hours,stress_level,exercise_minutes,productivity_score,productivity_label
4.76,1.02,2.6,0.86,4.5,14,181,2,72.57,31,7.875,6.0,79.5,42.56258877045109,Low
3.78,5.61,4.7,5.4,3.26,11,499,6,77.28,36,5.665,4.5,65.5,55.60889295694368,Medium
4.48,1.84,1.57,4.07,3.15,2,72,5,52.02,81,8.425,5.5,87.5,80.23525817309799,High
3.62,9.71,5.02,4.93,0.53,3,217,2,86.84,39,5.675,7.5,39.5,31.188089948710605,Low
8.41,2.64,6.41,0.6,0.22,7,38,18,89.08,78,6.455,7.5,48.5,99.67636749747004,High
8.98,8.06,1.63,1.03,5.38,9,341,18,72.53,64,6.07,5.0,39.5,86.94276645961935,High
9.52,8.07,7.66,0.21,5.44,9,472,4,51.31,58,7.26,6.0,43.5,49.04264191067722,Low
4.47,7.85,4.03,2.68,3.61,6,260,3,80.95,96,8.315000000000001,7.0,94.5,64.4935896547989,Medium
5.69,10.6,1.74,2.61,5.82,11,483,4,52.84,32,5.19,4.5,27.5,40.08260966138781,Low
5.98,8.85,0.54,5.0,3.61,3,463,5,49.89,76,7.789999999999999,3.5,31.0,67.48383658750689,Medium
6.69,4.27,2.29,0.18,4.97,1,80,7,80.26,52,7.0600000000000005,2.5,61.0,80.39160462643913,High
0.52,4.12,3.79,3.1,0.6,10,395,17,45.61,79,7.869999999999999,4.5,55.0,74.7642074534559,High
8.51,0.76,3.83,4.45,5.46,6,107,8,86.37,34,6.665,8.5,43.5,53.90827008807317,Medium
3.05,10.95,1.64,3.83,2.84,10,110,6,59.18,78,4.645,7.5,67.5,33.037348623496825,Low
4.99,1.69,2.07,5.79,5.59,1,257,1,69.76,33,8.535,4.5,46.0,70.30091740449248,Medium
8.49,6.01,5.43,5.28,3.76,5,481,6,91.55,73,8.885000000000002,6.0,66.0,74.53994571447791,High
9.97,6.35,6.2,1.04,2.68,6,338,0,76.1,56,5.779999999999999,5.0,62.5,48.49175690290025,Low
8.05,5.65,0.86,2.35,0.42,9,322,13,44.54,36,7.855,4.5,33.0,70.16721071688386,Medium
0.74,7.1,5.33,4.48,2.83,4,51,3,40.2,52,6.96,4.5,49.5,32.15544430739887,Low
4.0,8.89,7.33,2.53,0.29,3,311,2,80.76,98,8.3,4.0,86.5,76.44160158101438,High
2.85,2.76,0.28,2.54,4.73,3,452,17,62.08,61,6.225,6.0,40.5,80.70305753968587,High
9.66,1.35,4.9,1.28,0.55,11,465,6,52.11,33,5.03,5.0,70.0,71.17902246098794,Medium
3.01,10.36,4.66,1.0,1.69,10,196,8,70.89,95,7.435,6.0,36.0,70.60244610864058,Medium
9.46,6.19,1.89,3.94,2.63,12,116,17,40.58,74,7.85,7.5,25.5,80.11150259119282,High
9.41,1.96,6.6,5.93,3.76,9,47,19,75.05,95,5.92,5.5,38.5,91.89881153019364,High
8.47,8.23,0.05,5.57,3.86,13,477,6,43.3,69,7.04,5.5,64.0,65.86991983674703,Medium
1.43,3.07,7.43,5.2,0.54,14,91,2,65.65,36,8.66,3.5,40.0,33.78354960769554,Low
0.52,1.44,4.78,5.88,0.76,11,186,4,97.81,99,6.115,5.5,19.5,75.09384612403181,High
8.04,3.75,3.93,1.09,5.95,6,89,10,55.59,82,7.56,2.5,64.5,95.0760261033141,High
8.51,3.91,5.92,2.59,5.04,8,401,2,95.98,44,7.834999999999999,6.0,91.5,51.03398344607434,Medium
9.64,10.49,7.54,0.84,1.94,8,479,9,80.76,40,8.275,4.0,34.5,66.72961923610639,Medium
2.57,4.03,6.57,2.85,3.36,8,475,4,74.97,79,8.365,4.0,44.5,49.16731551769479,Low
7.46,9.47,4.54,0.51,4.13,10,428,12,72.91,71,6.859999999999999,4.0,51.5,81.76237285347337,High
5.43,7.14,1.01,4.07,1.0,2,60,8,47.46,88,8.05,4.5,47.5,78.50533545116132,High
3.62,1.59,3.05,2.67,0.81,14,5,18,61.18,52,7.295,3.0,39.0,74.47997580252678,High
6.26,2.3,6.98,5.23,2.99,10,241,5,43.02,32,6.635,4.0,62.5,65.6919569511457,Medium
5.71,1.42,6.81,1.39,1.9,4,329,19,46.72,73,6.6850000000000005,4.0,79.5,87.42696292744459,High
3.28,5.12,3.36,2.36,2.86,1,257,9,59.96,38,7.585,6.0,98.0,49.92893103079698,Low
3.05,11.65,3.78,0.01,1.0,2,184,11,91.1,42,6.215,3.0,79.5,63.61813148243588,Medium
5.12,2.58,5.47,2.8,0.59,6,113,2,72.24,33,5.615,4.5,104.0,54.64486328933564,Medium
5.0,4.43,3.51,0.5,5.81,8,430,4,53.36,95,8.51,2.5,86.5,82.42376260896519,High
3.37,9.93,0.72,5.59,0.6,4,349,6,54.47,42,5.92,7.5,53.0,52.931286878577154,Medium
3.01,10.57,5.84,5.71,5.16,6,63,1,62.31,92,8.555,5.5,44.0,43.48806274994744,Low
9.57,8.96,5.2,3.32,2.77,7,44,7,57.57,60,7.05,2.5,45.0,65.2226566799867,Medium
8.69,5.87,1.59,2.62,2.68,8,398,17,77.41,88,6.48,8.5,74.0,88.3759267115911,High
8.26,7.96,6.42,2.85,2.63,2,165,10,74.8,50,7.095000000000001,3.5,47.5,65.034591137767,Medium
2.54,5.68,6.53,2.08,0.27,1,499,12,75.0,71,5.275,7.0,72.0,54.90628029314621,Medium
2.3,10.26,1.98,2.62,0.34,4,273,18,87.94,37,7.47,6.0,47.5,73.39320716328922,High
8.19,5.21,1.13,3.01,0.72,13,289,18,94.55,87,8.184999999999999,6.0,44.5,89.43461527778673,High
2.25,9.9,1.57,5.77,4.5,1,345,11,73.56,70,8.475,5.5,91.0,64.1401565854267,Medium
5.28,7.24,3.95,2.4,1.59,7,254,18,45.9,59,8.25,5.5,62.5,66.88454382936119,Medium
2.6,6.49,2.55,4.51,3.91,10,476,9,90.35,67,7.52,7.5,89.5,51.50739235452546,Medium
4.09,8.05,5.39,4.39,2.14,6,264,6,87.99,91,5.220000000000001,4.0,40.0,54.60396176672608,Medium
8.61,3.86,4.17,5.76,4.46,1,21,16,46.32,84,6.44,9.0,61.5,75.67411147827926,High
8.97,5.01,5.37,0.3,5.22,6,36,3,72.94,30,7.58,8.0,53.5,45.0131301495726,Low
9.97,9.76,1.77,0.52,2.85,4,113,15,67.43,35,5.47,5.0,71.5,83.04717016430791,High
9.47,4.92,4.73,3.46,0.3,12,312,10,88.79,38,8.05,3.0,44.5,74.07208891632993,High
6.88,8.02,7.07,2.86,4.18,3,202,1,75.13,86,7.154999999999999,6.5,40.0,53.75818703143896,Medium
4.6,8.13,4.67,3.71,2.53,10,471,13,98.76,52,6.619999999999999,5.0,35.5,56.540442816693286,Medium
1.05,10.5,5.51,3.2,4.83,10,220,15,84.01,93,6.470000000000001,6.0,53.5,57.48155328134521,Medium
6.28,5.6,7.6,4.59,5.5,7,396,17,72.62,87,5.475,8.0,63.5,70.97876474505578,Medium
2.5,10.88,7.09,5.33,5.47,3,227,4,44.57,70,7.925,7.5,59.0,27.12181508093683,Low
8.58,11.92,1.8,3.2,5.11,4,15,13,53.66,56,8.405,6.0,87.5,73.44761810462451,High
5.71,2.45,6.53,0.53,0.65,12,296,2,68.38,49,7.525,6.0,60.0,56.73542100161184,Medium
7.47,8.73,7.84,0.66,4.6,2,57,17,40.89,42,8.120000000000001,8.5,50.0,54.8483000491832,Medium
6.9,8.53,6.31,1.34,4.0,7,120,9,62.4,51,5.8100000000000005,4.5,34.5,54.06620202891916,Medium
3.8,5.75,1.03,5.16,1.71,12,270,12,95.17,95,7.45,5.0,29.5,78.63607145899839,High
7.71,3.99,4.96,3.48,1.34,9,9,12,80.61,48,7.59,2.5,62.5,88.17232978601864,High
8.51,0.81,5.22,2.26,5.45,4,327,1,78.97,54,8.165,5.0,26.5,70.25872832286744,Medium
7.57,7.82,1.18,2.17,5.95,8,249,0,88.1,50,7.91,4.5,47.5,56.98788127859058,Medium
7.88,4.13,4.44,0.37,4.71,4,127,1,46.42,57,8.344999999999999,6.0,63.0,45.54903291317858,Low
3.92,6.85,7.39,1.67,0.86,10,158,18,83.04,43,5.88,3.0,79.0,68.01773267125161,Medium
9.47,1.9,2.36,2.16,3.35,14,49,3,87.71,46,5.705,5.0,88.5,67.79228171807551,Medium
4.53,1.01,6.46,0.51,1.61,4,99,15,57.15,48,6.01,7.5,56.0,66.97886456134249,Medium
9.02,9.73,5.15,2.5,1.62,9,156,3,79.94,59,7.28,6.5,30.5,63.09242618392521,Medium
8.65,1.91,5.4,2.33,0.79,5,354,16,85.1,68,6.24,6.0,26.5,99.5519587697913,High
1.68,2.08,2.4,5.71,1.05,5,203,4,40.46,46,7.51,9.0,55.5,48.946620684684106,Low
9.68,7.06,6.06,2.84,2.65,5,333,4,97.87,45,5.845000000000001,5.5,83.5,59.66742779351099,Medium
9.97,8.91,5.09,3.95,0.65,10,246,15,79.79,83,7.335,7.0,49.0,100.0,High
6.26,0.59,4.19,5.28,0.89,5,89,3,47.84,69,8.145,6.0,84.0,80.00739477208441,High
7.94,5.58,3.92,5.3,0.74,5,218,2,78.81,39,6.85,8.0,25.5,55.5956612851104,Medium
9.37,7.76,2.46,3.71,1.79,1,498,7,61.23,69,5.57,3.0,57.5,85.09373693436363,High
0.69,8.99,1.62,3.12,5.76,1,254,11,61.01,43,5.695,5.0,57.5,39.480671669136704,Low
9.33,11.4,6.14,1.92,0.28,6,67,8,55.19,41,6.890000000000001,4.5,62.0,41.26920242533795,Low
6.46,0.69,1.6,2.71,1.49,5,101,0,75.46,70,6.83,7.0,54.5,61.41637305925852,Medium
8.37,10.83,1.34,0.45,5.39,14,33,11,84.97,53,7.28,8.5,34.0,67.46121951420575,Medium
5.64,11.62,6.81,0.99,0.54,3,160,5,71.97,90,5.785,8.5,36.0,49.51017124739757,Low
5.54,10.46,0.64,2.24,4.82,4,274,0,44.21,92,5.664999999999999,5.5,54.0,62.18666983369501,Medium
9.03,11.41,1.23,0.14,0.36,12,63,1,69.17,44,8.58,6.0,69.5,69.279040097072,Medium
5.32,1.86,0.73,4.3,1.41,4,329,4,79.74,54,6.315,3.5,63.0,86.83360402816407,High
4.98,11.91,7.67,3.53,5.25,2,57,14,48.55,60,5.69,4.0,73.5,62.66120883452277,Medium
6.28,9.3,0.84,5.13,0.04,8,326,7,66.1,36,8.615,3.0,31.5,53.5169542498458,Medium
5.43,1.3,0.05,1.0,2.81,2,118,10,66.83,70,8.775,5.0,37.0,79.7302760595095,High
4.74,8.31,4.9,5.59,4.39,4,358,4,40.29,85,7.959999999999999,4.5,49.0,59.17982869381032,Medium
2.21,8.59,5.71,5.41,2.05,14,330,15,90.26,91,5.99,7.5,82.0,54.97494399527271,Medium
4.28,7.74,1.42,3.23,1.09,14,323,17,47.85,66,5.91,4.5,35.5,83.13312022164828,High
3.18,10.56,2.79,2.2,0.38,13,187,6,74.46,35,7.245,5.5,55.5,44.1233289000152,Low
4.3,9.11,2.48,5.2,5.27,3,286,9,93.35,84,5.0,8.5,57.0,42.22631931082645,Low
6.14,2.36,5.79,5.65,4.6,6,381,6,92.91,51,6.17,3.0,71.0,73.9949700784408,High
6.28,3.38,3.15,0.97,4.06,1,277,5,82.42,38,7.705,5.5,78.5,77.46453304415209,High
2.77,5.83,4.23,3.47,4.81,2,288,18,88.12,75,7.649999999999999,6.5,101.5,73.61647134593463,High
1.3,5.04,6.21,3.02,3.26,12,210,15,96.07,97,8.22,5.0,17.5,65.02424943548567,Medium
7.57,8.12,3.95,3.22,5.18,1,427,0,65.52,75,7.105,3.5,62.5,66.71657889373154,Medium
5.52,2.07,5.8,0.42,3.03,5,413,10,95.69,84,5.59,2.5,71.0,81.53522985381963,High
4.7,4.57,4.53,2.29,2.35,2,219,3,95.52,31,7.09,6.5,75.5,51.23548696690197,Medium
1.73,3.29,5.7,0.89,3.15,5,252,13,58.75,38,7.355,8.0,77.0,48.49851834198096,Low
4.44,3.88,0.73,5.23,5.83,11,33,4,84.62,78,6.155,7.0,52.5,68.22850771681055,Medium
8.27,8.67,7.83,2.72,4.04,11,484,3,82.16,31,8.72,5.5,75.5,47.46918738181554,Low
6.02,1.43,0.7,5.02,1.03,7,236,17,44.66,92,6.01,4.5,93.0,89.57234721484555,High
1.36,10.7,5.09,1.3,2.61,5,124,11,90.11,49,4.45,7.5,18.0,34.02541225549194,Low
3.66,7.87,0.19,5.19,4.31,6,65,19,49.43,41,7.225,6.5,98.5,72.45589310994654,High
9.81,5.23,4.14,0.84,2.52,8,98,3,53.86,69,8.35,5.5,68.0,65.59154008662713,Medium
5.67,6.09,0.77,0.92,4.04,2,95,12,75.0,68,6.265000000000001,5.0,78.5,81.64858326767154,High
3.22,8.53,0.72,5.93,0.23,2,209,17,82.73,42,5.645,4.0,33.0,69.26790891517966,Medium
9.18,8.9,2.28,0.17,2.4,1,315,11,86.43,83,5.835,2.5,77.5,90.40225105310104,High
3.69,9.75,1.93,0.19,1.84,5,71,5,61.01,61,7.300000000000001,3.5,73.0,66.34135055076743,Medium
7.43,3.53,1.09,0.63,3.64,11,77,11,70.08,35,7.725,4.0,23.0,70.2629735668818,Medium
1.9,10.37,4.63,1.13,0.65,6,333,2,65.26,81,6.824999999999999,7.0,51.0,37.60252322407996,Low
1.99,10.05,7.08,0.41,2.72,1,212,3,52.55,94,4.525,6.5,39.0,43.21352642080001,Low
5.83,10.33,7.34,5.7,3.6,9,217,1,56.19,31,5.1,4.5,62.5,39.35452898663284,Low
2.78,1.43,2.32,1.81,0.54,14,336,0,77.39,65,5.95,7.0,52.0,60.31913459311375,Medium
0.97,2.15,6.92,5.79,3.13,4,441,14,88.08,53,7.04,9.0,46.0,56.07103190947085,Medium
9.3,7.68,7.74,5.26,4.47,4,137,2,76.36,80,7.729999999999999,3.0,90.0,71.59558690933,Medium
1.03,11.46,2.5,4.59,3.43,2,121,13,68.46,66,7.335,7.0,32.5,45.34514859336781,Low
7.32,1.76,7.5,0.16,0.26,2,96,13,85.05,30,7.35,5.5,68.5,82.39942142567449,High
3.66,9.0,3.41,4.36,3.12,1,228,12,45.97,56,7.205,4.5,84.5,66.96213430787222,Medium
9.37,2.07,3.71,2.26,1.54,11,408,2,73.99,55,8.045,3.5,78.5,75.17531543340044,High
9.87,11.43,3.84,5.25,5.23,13,37,4,68.81,73,6.805,7.0,76.5,49.22341189548391,Low
3.69,9.7,5.85,3.31,3.58,2,420,4,52.52,49,8.005,7.0,76.0,40.34371723482389,Low
6.12,3.82,2.09,1.4,0.89,13,382,14,57.5,71,6.63,8.0,86.0,89.48192216342335,High
7.84,1.05,1.92,3.64,3.8,2,233,5,83.38,85,7.54,4.5,24.5,72.87620104570694,High
1.67,5.52,5.04,3.18,3.53,8,234,0,70.29,46,8.1,7.0,62.0,22.94962739429366,Low
7.24,6.54,4.46,4.15,0.29,1,423,19,90.58,43,6.62,4.5,88.0,87.80174978154943,High
9.11,6.56,0.57,1.52,2.68,12,474,15,41.8,96,6.085,7.5,78.0,100.0,High
2.2,10.3,7.22,5.94,4.35,7,61,18,61.44,78,7.795,6.5,61.5,65.81242799536929,Medium
8.47,11.78,2.33,4.02,2.33,10,51,4,57.85,78,6.83,8.0,57.5,62.87433893150978,Medium
1.6,5.47,6.01,2.31,2.53,1,47,10,55.0,36,9.02,2.5,26.0,43.82224089053688,Low
5.9,2.38,4.63,3.54,0.3,7,46,13,77.2,58,6.15,5.0,66.5,77.14692829436558,High
3.72,4.84,4.58,2.45,1.77,2,50,12,67.51,83,9.095,4.5,26.5,60.83232083725196,Medium
4.98,8.69,6.87,5.2,5.76,14,8,12,89.08,36,6.73,4.0,24.5,64.87591072118703,Medium
3.36,7.21,7.04,5.64,4.96,12,473,6,43.15,74,8.125,3.0,49.0,61.01266036174566,Medium
2.98,1.5,4.48,5.45,0.46,2,242,17,70.46,90,8.145,5.5,37.5,70.44280816313677,Medium
7.56,2.91,3.43,2.57,1.81,12,104,7,51.93,77,8.08,3.0,51.5,75.1530997354955,High
2.62,8.48,4.96,1.31,3.41,14,315,17,52.35,35,6.234999999999999,5.0,87.0,44.69993535842002,Low
4.38,8.53,0.96,3.63,0.49,14,19,8,40.73,61,6.17,7.5,84.5,58.244980447292846,Medium
3.11,7.5,3.36,3.38,4.18,12,361,13,55.48,41,6.6850000000000005,6.5,39.5,59.76979677917856,Medium
2.77,3.88,5.3,0.38,4.22,13,330,11,85.35,33,5.8100000000000005,6.0,36.0,52.922270919763534,Medium
6.46,2.38,6.1,5.1,3.39,4,28,7,80.78,75,8.8,7.5,59.5,62.55098027588336,Medium
0.93,3.13,5.77,0.23,4.21,7,6,2,71.16,77,7.135,5.5,65.5,46.235992521697135,Low
7.99,9.79,1.4,0.21,0.32,5,18,15,86.79,79,4.885,5.0,94.0,75.12815026797728,High
5.69,6.12,4.89,4.41,1.52,8,161,5,47.1,97,6.795,7.0,79.0,62.43215007271649,Medium
8.37,4.54,0.72,5.66,2.05,12,433,3,55.96,49,6.925,6.0,88.0,80.95135385271546,High
2.52,2.06,4.77,4.19,5.51,3,470,2,98.89,37,5.165,6.5,80.0,41.667167706144006,Low
7.24,5.01,5.97,4.7,5.56,10,339,17,83.27,81,5.91,5.0,53.5,93.71490997201414,High
4.5,5.3,5.05,5.5,5.37,13,243,11,64.32,39,4.705,7.0,62.0,42.17081592652728,Low
1.23,10.69,5.0,1.95,2.06,1,93,1,65.02,77,7.665,5.5,40.0,51.3269790555574,Medium
7.65,11.31,5.23,3.69,5.89,9,192,12,75.71,98,6.32,4.5,96.0,73.80748159686405,High
7.74,10.15,3.34,2.15,0.61,5,46,9,40.72,81,5.805,4.0,48.5,61.89776667152769,Medium
3.07,4.96,3.08,4.72,2.91,5,10,18,82.51,74,8.585,5.5,31.5,83.5096096635322,High
9.2,6.93,3.56,4.78,2.21,3,99,16,43.78,56,5.205,5.0,38.0,68.34578677070975,Medium
7.76,10.17,1.69,2.92,4.14,3,233,5,70.09,85,8.02,5.0,71.0,78.60800686690439,High
3.41,1.08,3.63,4.61,3.58,9,469,10,77.48,96,7.355,3.5,48.5,95.64035289051938,High
2.77,6.63,7.24,2.34,4.45,11,319,12,76.45,35,7.45,5.0,44.5,54.33709445774967,Medium
4.68,5.08,2.33,4.08,5.39,3,368,5,94.13,44,5.615,4.0,37.5,51.34991945153176,Medium
3.28,4.88,3.45,1.88,4.16,13,370,16,53.37,51,8.4,5.0,75.0,68.35310178881628,Medium
2.56,4.53,5.17,0.75,4.25,2,399,3,51.37,74,6.625,5.0,81.5,42.09493532462286,Low
4.29,7.87,6.14,4.96,0.47,2,191,13,80.42,89,4.53,8.5,92.0,61.67783659500785,Medium
0.74,5.3,0.07,0.2,0.68,6,460,17,67.83,86,6.75,9.0,74.0,73.44690040960525,High
4.31,4.2,5.31,2.88,2.22,9,383,11,85.63,31,7.46,5.0,71.0,47.68503705932632,Low
2.61,7.01,1.15,5.74,2.54,5,29,11,67.43,97,6.84,3.5,88.0,74.46174484120684,High
3.01,4.79,5.95,0.01,0.94,8,188,0,75.14,79,6.995,7.0,65.0,40.5145798407235,Low
1.28,0.9,1.09,5.61,0.81,7,415,7,41.39,46,6.595,4.5,58.0,65.52634990487644,Medium
6.09,5.3,6.0,0.53,2.51,10,53,17,84.65,99,4.9,4.0,26.5,93.34336250827012,High
4.98,2.76,7.57,3.44,2.57,2,47,8,97.05,40,7.385,7.0,70.0,63.98049963503832,Medium
7.63,1.65,1.79,2.64,4.87,5,354,9,47.43,47,7.795,6.0,44.0,65.1856362773558,Medium
9.88,10.53,0.07,1.18,1.77,2,472,15,51.91,45,6.32,3.5,47.5,78.52240755200913,High
1.64,8.46,0.89,4.26,4.32,10,21,7,88.69,56,5.555,4.5,33.5,48.28823633687337,Low
3.09,4.88,7.35,1.76,4.6,12,434,10,45.1,96,6.720000000000001,4.5,43.0,56.42160491424968,Medium
6.98,11.83,3.76,4.48,2.42,6,128,16,49.01,55,8.815000000000001,6.0,32.5,69.20368085562775,Medium
2.75,4.72,4.3,2.36,3.96,1,80,19,48.98,96,7.220000000000001,5.5,82.5,91.66301064447616,High
0.79,3.31,1.22,0.26,2.74,13,485,3,59.03,84,5.495,8.0,65.5,50.51025809934627,Medium
1.54,5.95,7.9,2.59,2.38,4,14,10,74.6,73,7.435,5.5,61.0,64.7552467635599,Medium
4.62,11.37,1.46,3.91,1.92,5,319,13,71.92,94,5.945,3.5,80.0,73.53865164303912,High
4.59,8.14,4.82,0.73,4.43,9,386,11,75.5,82,4.58,7.5,69.0,48.60633750440397,Low
9.74,8.9,4.56,4.95,2.37,4,271,9,45.15,45,8.1,5.5,64.5,70.87074500227978,Medium
4.93,2.4,0.52,3.62,3.02,13,399,9,52.0,43,7.880000000000001,2.5,77.0,91.45858591047306,High
6.94,0.96,7.97,5.43,3.68,2,496,12,92.9,81,8.035,6.5,44.0,77.59566883240232,High
5.18,6.68,4.4,5.51,4.3,1,49,10,41.86,98,7.19,4.5,26.5,74.63984393172197,High
3.06,4.3,1.24,5.79,0.66,7,303,5,90.98,61,6.675000000000001,6.5,62.0,68.42312201923714,Medium
1.5,0.99,6.04,2.59,3.55,4,277,19,42.79,64,7.025,7.0,91.5,74.33780011359308,High
8.66,10.81,3.14,2.01,3.08,14,322,16,67.16,64,5.265,5.5,91.5,74.43224463501832,High
1.95,0.79,5.36,5.09,4.79,5,192,0,56.47,86,6.45,3.0,44.5,59.244332185207455,Medium
1.42,0.65,1.79,3.99,1.78,8,16,14,46.2,46,6.075,5.5,61.5,58.42871347792931,Medium
2.53,3.94,7.38,2.17,4.81,12,156,11,45.57,68,6.404999999999999,8.0,25.5,43.7737803156564,Low
0.52,6.22,0.33,5.37,4.51,7,351,11,40.73,74,7.06,3.5,63.0,80.21587714207993,High
1.18,5.68,0.16,1.54,5.02,7,342,0,93.86,81,5.65,7.5,50.5,60.75289109669794,Medium
6.53,4.64,6.92,5.46,1.07,1,105,3,48.28,63,8.405,4.5,56.0,56.23046383079051,Medium
2.81,10.43,4.35,4.81,5.27,10,216,2,75.99,85,7.065,3.5,30.5,60.05616483458539,Medium
3.72,3.92,2.73,2.47,2.66,7,301,5,70.53,49,5.52,4.0,33.0,53.01579731191718,Medium
8.44,8.01,1.13,2.15,2.97,5,210,13,60.29,71,5.1850000000000005,4.5,56.5,85.57539323252115,High
7.84,5.08,0.48,5.3,1.31,7,438,1,63.92,68,5.695,2.5,50.5,69.15843227979971,Medium
5.18,4.97,2.36,2.91,5.12,8,153,0,95.32,61,8.26,3.0,74.5,54.797839661443646,Medium
6.32,11.23,6.49,4.6,1.29,12,353,8,75.65,59,5.33,8.5,58.5,41.506105745613326,Low
1.32,8.52,1.54,3.87,3.29,2,214,14,86.81,69,5.34,3.5,76.5,79.95688171190446,High
7.74,6.69,7.84,1.06,1.26,11,331,4,61.51,61,5.225,4.0,55.5,69.22952627936948,Medium
5.4,2.51,6.33,5.41,2.4,2,361,17,62.24,77,6.305,4.5,87.0,73.10075880073244,High
5.92,2.08,0.09,3.71,5.19,3,290,4,84.96,99,7.305,6.5,43.0,85.37144200100093,High
6.82,2.73,4.4,1.96,0.16,5,219,9,63.52,73,4.775,6.5,39.5,59.46438885630552,Medium
5.25,7.71,3.17,2.17,3.46,13,316,10,41.68,64,5.359999999999999,4.5,76.0,60.53985746851542,Medium
5.46,1.14,3.55,1.42,4.8,4,275,10,87.18,42,8.52,3.5,40.5,77.02297004392985,High
5.25,5.84,3.55,3.53,2.0,1,68,9,63.2,31,7.31,7.0,75.0,56.38592639698848,Medium
5.22,5.79,6.81,1.12,3.91,10,163,5,68.02,67,5.89,5.5,99.5,52.853093135027706,Medium
7.63,11.05,5.49,2.17,1.61,14,489,8,75.42,72,6.425,7.5,23.5,51.9041961531284,Medium
4.56,4.75,2.33,5.64,5.37,4,256,4,42.61,79,6.245,7.0,56.0,45.43229899755005,Low
0.53,10.81,4.12,0.26,1.59,9,389,15,72.38,62,8.16,5.0,27.0,50.14367873016395,Medium
6.31,7.57,3.9,4.33,3.71,9,476,8,70.12,32,6.01,8.5,38.0,60.437272202697095,Medium
9.55,4.99,2.3,0.81,0.95,5,60,8,43.15,96,5.0,6.5,57.5,88.40743690758231,High
2.94,6.56,4.96,2.17,0.97,11,463,19,65.18,87,7.095000000000001,5.0,45.0,92.77405053582466,High
8.25,1.58,5.05,3.44,5.49,12,160,8,83.14,47,5.529999999999999,3.5,58.0,75.60163072537401,High
4.83,10.73,0.86,5.9,0.37,5,213,16,63.92,30,7.515000000000001,3.5,72.0,67.92318466181085,Medium
6.61,7.76,0.71,1.92,1.03,2,33,11,97.44,62,7.585000000000001,5.0,74.5,80.20186699565342,High
8.96,5.51,0.24,1.15,4.92,2,194,1,57.99,95,5.76,8.0,68.5,75.89239819397291,High
7.82,9.42,4.74,3.76,1.93,4,422,17,67.73,51,7.07,6.5,92.5,71.32264726255374,Medium
8.9,5.15,7.97,2.85,4.15,6,229,12,53.44,72,5.029999999999999,8.5,58.0,61.527821483225736,Medium
0.59,5.8,7.27,1.56,2.57,5,349,5,89.66,61,7.66,4.5,84.5,50.93358974476823,Medium
2.28,5.35,3.69,4.39,2.53,9,309,2,50.23,51,5.79,5.0,100.0,38.71771984708408,Low
4.52,11.96,2.55,4.66,1.83,1,61,19,71.56,33,6.845000000000001,2.0,38.0,71.53527549434887,Medium
8.55,9.36,5.87,4.4,4.12,5,437,17,63.22,90,8.295,3.0,47.0,84.32094224879471,High
8.46,11.18,2.68,5.0,0.87,12,345,5,65.15,81,5.625,3.0,35.0,63.28452015355822,Medium
2.26,4.87,0.28,4.08,2.51,11,279,2,85.91,78,8.39,5.0,56.5,75.35577839660135,High
1.85,6.14,4.14,4.1,3.96,11,267,19,81.02,75,6.855,4.5,81.5,60.65911233260921,Medium
8.43,2.82,2.57,2.66,5.62,7,17,1,57.29,88,5.345000000000001,4.5,67.5,54.42591716597761,Medium
5.64,0.62,0.35,3.48,0.79,5,265,14,78.28,94,5.34,7.5,24.0,91.03200235155091,High
6.45,2.74,6.08,4.09,0.72,5,25,14,58.77,93,7.07,4.5,23.0,87.81393925678427,High
8.19,11.18,4.59,3.12,4.36,11,496,11,42.33,70,7.949999999999999,6.0,69.5,57.88087523376869,Medium
2.51,5.75,2.79,4.13,0.76,9,256,3,96.92,47,7.395,6.0,40.0,39.321515584882576,Low
1.8,2.0,3.33,5.3,4.11,13,322,7,71.64,67,7.05,5.5,78.5,56.991823393108135,Medium
8.66,5.7,0.63,2.57,0.37,14,448,15,86.98,57,6.015000000000001,6.5,53.5,84.40299258494028,High
1.56,9.62,0.99,2.65,1.77,5,236,15,82.49,60,4.555,6.5,19.5,36.2924439020656,Low
1.34,6.26,3.35,4.66,3.74,5,387,2,99.18,79,7.1,2.0,69.0,57.53994147441492,Medium
3.13,11.27,1.21,1.9,4.12,11,110,4,78.8,73,7.28,6.0,81.5,59.36765643171852,Medium
3.51,10.83,1.52,0.46,4.93,11,129,16,97.71,77,7.305,6.5,23.5,74.74783672770855,High
2.79,5.94,2.95,2.29,5.09,10,13,19,91.89,31,5.21,5.5,21.0,69.52082390823021,Medium
7.55,1.45,4.19,3.08,0.31,4,221,15,57.43,76,5.245,4.5,57.5,99.1093157316422,High
9.75,8.6,4.46,1.67,0.19,2,324,4,99.24,37,7.705,6.0,70.0,65.82422739738448,Medium
2.4,4.6,3.92,4.04,0.08,8,416,1,82.45,31,7.745,7.0,41.5,32.5290527904156,Low
7.93,9.54,0.58,3.23,4.44,4,70,4,57.51,82,8.254999999999999,4.0,78.0,79.55970818204396,High
0.92,4.05,0.64,1.8,5.94,4,136,0,40.64,84,6.54,8.0,96.5,44.41536028700615,Low
